"workflow","date","document_version","project_name","created_at","room_pdf","caller_pdf"
"Amortization","26-06-12","26-06-12 V1","320 Rose Pl","2026-06-12T16:19:07","C:\Codex\Wiki Files\Project Rooms\Amortization\outputs\320 Rose Pl\320 Rose Pl - 12 Month Amortization Chart.pdf","C:\Codex\Wiki Files\Project Rooms\Contract for Deed\transactions\320 Rose Pl - Ever Cardoza\output\320 Rose Pl - 12 Month Amortization Chart.pdf"
"Amortization","26-06-12","26-06-12 V2","320 Rose Pl","2026-06-12T16:25:15","C:\Codex\Wiki Files\Project Rooms\Amortization\outputs\320 Rose Pl\320 Rose Pl - 12 Month Amortization Chart.pdf","C:\Codex\Wiki Files\Project Rooms\Contract for Deed\transactions\320 Rose Pl - Ever Cardoza\output\320 Rose Pl - 12 Month Amortization Chart.pdf"
